Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2017,Fullmetal Alchemist,14.254,423,not_good,Fantasy
2017,Fullmetal Alchemist,14.254,423,not_good,Science Fiction
2016,Tom and Jerry: Back to Oz,14.254,35,not_good,Family
2016,Tom and Jerry: Back to Oz,14.254,35,not_good,Animation
2016,Tom and Jerry: Back to Oz,14.254,35,not_good,Fantasy
2016,Tom and Jerry: Back to Oz,14.254,35,not_good,Comedy
2016,Joseph and Mary,14.253,6,not_good,Drama
1999,Candyman: Day of the Dead,14.253,156,not_good,Horror
1999,Candyman: Day of the Dead,14.253,156,not_good,Thriller
1964,Onibaba,14.253,255,good,Horror
1964,Onibaba,14.253,255,good,Drama
1986,Fist of the North Star,14.252,104,avg,Action
1986,Fist of the North Star,14.252,104,avg,Animation
1986,Fist of the North Star,14.252,104,avg,Drama
1986,Fist of the North Star,14.252,104,avg,Science Fiction
1986,Fist of the North Star,14.252,104,avg,Thriller
1958,Elevator to the Gallows,14.251,403,good,Crime
1958,Elevator to the Gallows,14.251,403,good,Drama
1958,Elevator to the Gallows,14.251,403,good,Thriller
2019,Sweet Family,14.249,100,good,Comedy
1995,Victim of Desire,14.248,7,not_good,Crime
1995,Victim of Desire,14.248,7,not_good,Drama
1995,Victim of Desire,14.248,7,not_good,Thriller
2007,The Invisible,14.247,426,below_avg,Fantasy
2007,The Invisible,14.247,426,below_avg,Thriller
2018,Calibre,14.245,491,below_avg,Horror
2018,Calibre,14.245,491,below_avg,Thriller
1995,Total Eclipse,14.245,402,below_avg,Romance
1995,Total Eclipse,14.245,402,below_avg,Drama
1985,D.A.R.Y.L.,14.245,221,below_avg,Family
1985,D.A.R.Y.L.,14.245,221,below_avg,Science Fiction
2018,Super Crazy,14.243,147,below_avg,Comedy
2002,Sympathy for Mr. Vengeance,14.243,1003,good,Action
2002,Sympathy for Mr. Vengeance,14.243,1003,good,Drama
2002,Sympathy for Mr. Vengeance,14.243,1003,good,Thriller
2012,The Apparition,14.242,341,not_good,Horror
2012,The Apparition,14.242,341,not_good,Thriller
2004,If Only,14.242,441,avg,Fantasy
2004,If Only,14.242,441,avg,Drama
2004,If Only,14.242,441,avg,Romance
1998,Urban Legend,14.24,983,not_good,Horror
1998,Urban Legend,14.24,983,not_good,Thriller
1978,Revenge of the Pink Panther,14.24,306,avg,Action
1978,Revenge of the Pink Panther,14.24,306,avg,Comedy
1978,Revenge of the Pink Panther,14.24,306,avg,Crime
1978,Revenge of the Pink Panther,14.24,306,avg,Thriller
1994,Star Trek: Generations,14.24,1001,below_avg,Science Fiction
1994,Star Trek: Generations,14.24,1001,below_avg,Action
1994,Star Trek: Generations,14.24,1001,below_avg,Adventure
1994,Star Trek: Generations,14.24,1001,below_avg,Thriller
1949,Late Spring,14.237,267,good,Drama
2016,Salt and Fire,14.234,63,not_good,Drama
2016,Salt and Fire,14.234,63,not_good,Thriller
2016,Tramps,14.232,182,below_avg,Comedy
2016,Tramps,14.232,182,below_avg,Romance
2016,Urge,14.231,188,not_good,Thriller
2016,Urge,14.231,188,not_good,Mystery
1981,The Cannonball Run,14.231,457,below_avg,Action
1981,The Cannonball Run,14.231,457,below_avg,Comedy
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,below_avg,Action
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,below_avg,Adventure
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,below_avg,Animation
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,below_avg,Science Fiction
1995,The Cure,14.228,235,good,Drama
1995,The Cure,14.228,235,good,Family
2014,Rise of the Legend,14.226,125,below_avg,Action
2014,Rise of the Legend,14.226,125,below_avg,Drama
2013,The Immigrant,14.224,669,below_avg,Drama
2013,The Immigrant,14.224,669,below_avg,Romance
2018,The Marine 6: Close Quarters,14.222,123,avg,Action
2022,Moon Crash,14.221,2,not_good,Science Fiction
2013,Miss Violence,14.221,324,avg,Drama
2016,Incarnate,14.22,460,not_good,Horror
2016,Incarnate,14.22,460,not_good,Thriller
1962,Sanjuro,14.22,408,good,Drama
1962,Sanjuro,14.22,408,good,Action
1962,Sanjuro,14.22,408,good,Comedy
1997,Air Bud,14.219,359,not_good,Comedy
1997,Air Bud,14.219,359,not_good,Family
2021,Breaking Boundaries: The Science of Our Planet,14.218,34,good,Documentary
2021,"My Brother, My Sister",14.218,77,avg,Drama
2013,Open Grave,14.218,571,below_avg,Horror
2013,Open Grave,14.218,571,below_avg,Thriller
2013,Open Grave,14.218,571,below_avg,Mystery
2012,Gone,14.218,961,below_avg,Thriller
2005,Kicking & Screaming,14.217,495,not_good,Family
2005,Kicking & Screaming,14.217,495,not_good,Comedy
2016,Born in China,14.215,136,good,Documentary
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Fantasy
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Animation
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Drama
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Comedy
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Science Fiction
2010,Donkey's Christmas Shrektacular,14.215,128,not_good,Family
1973,Ivan Vasilyevich Changes His Profession,14.215,244,good,Comedy
1973,Ivan Vasilyevich Changes His Profession,14.215,244,good,Science Fiction
1968,Inspector Clouseau,14.213,49,not_good,Comedy
1968,Inspector Clouseau,14.213,49,not_good,Crime
1976,The Cassandra Crossing,14.211,143,below_avg,Action
1976,The Cassandra Crossing,14.211,143,below_avg,Thriller
1982,The Beastmaster,14.21,285,below_avg,Fantasy
1982,The Beastmaster,14.21,285,below_avg,Adventure
1982,The Beastmaster,14.21,285,below_avg,Action
1966,One Million Years B.C.,14.208,145,below_avg,Adventure
1966,One Million Years B.C.,14.208,145,below_avg,Fantasy
2007,The Wailer 2,14.206,24,avg,Horror
2010,Last Night,14.206,625,below_avg,Drama
2010,Last Night,14.206,625,below_avg,Romance
1990,Marked for Death,14.206,375,below_avg,Action
1990,Marked for Death,14.206,375,below_avg,Crime
2004,Anatomy of Hell,14.206,83,not_good,Drama
1996,Marvin's Room,14.205,487,avg,Drama
1983,"Merry Christmas, Mr. Lawrence",14.203,313,good,Drama
1983,"Merry Christmas, Mr. Lawrence",14.203,313,good,History
1983,"Merry Christmas, Mr. Lawrence",14.203,313,good,War
2016,The Silence of the Sky,14.201,59,below_avg,Drama
2016,The Silence of the Sky,14.201,59,below_avg,Thriller
1965,The Collector,14.201,140,good,Drama
1965,The Collector,14.201,140,good,Thriller
1979,1941,14.201,444,not_good,Action
1979,1941,14.201,444,not_good,Comedy
1979,1941,14.201,444,not_good,War
1956,The Killing,14.201,1094,good,Crime
1956,The Killing,14.201,1094,good,Drama
1956,The Killing,14.201,1094,good,Thriller
1997,The Land Before Time V: The Mysterious Island,14.2,265,below_avg,Animation
1997,The Land Before Time V: The Mysterious Island,14.2,265,below_avg,Family
1997,The Land Before Time V: The Mysterious Island,14.2,265,below_avg,Adventure
2002,Friday After Next,14.198,305,below_avg,Comedy
1983,Danton,14.197,120,avg,Drama
1983,Danton,14.197,120,avg,History
2020,Isi & Ossi,14.196,740,avg,Romance
2020,Isi & Ossi,14.196,740,avg,Comedy
1985,Return to Oz,14.196,628,avg,Adventure
1985,Return to Oz,14.196,628,avg,Family
1985,Return to Oz,14.196,628,avg,Fantasy
2015,The Letters,14.194,22,not_good,Drama
1940,The Grapes of Wrath,14.192,700,good,Drama
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,good,Animation
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,good,Comedy
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,good,Drama
2003,Duplex,14.19,1407,below_avg,Comedy
2007,Om Shanti Om,14.189,243,avg,Comedy
2007,Om Shanti Om,14.189,243,avg,Drama
2007,Om Shanti Om,14.189,243,avg,Romance
2021,The Yin Yang Master,14.188,41,avg,Action
2021,The Yin Yang Master,14.188,41,avg,Adventure
2021,The Yin Yang Master,14.188,41,avg,Drama
2021,The Yin Yang Master,14.188,41,avg,Fantasy
2021,The Yin Yang Master,14.188,41,avg,Romance
2002,American Psycho II: All American Girl,14.187,273,not_good,Horror
2002,American Psycho II: All American Girl,14.187,273,not_good,Thriller
1952,Ikiru,14.186,760,good,Drama
2011,The Guard,14.185,881,avg,Action
2011,The Guard,14.185,881,avg,Comedy
2011,The Guard,14.185,881,avg,Thriller
2011,The Guard,14.185,881,avg,Crime
2020,Persian Lessons,14.184,175,good,War
2020,Persian Lessons,14.184,175,good,Drama
2018,Rolling to You,14.184,645,avg,Comedy
2018,Rolling to You,14.184,645,avg,Romance
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,avg,Animation
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,avg,Action
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,avg,Adventure
2020,Buffaloed,14.182,162,avg,Comedy
2020,Buffaloed,14.182,162,avg,Drama
2020,Buffaloed,14.182,162,avg,Romance
1998,Affliction,14.18,188,below_avg,Drama
1998,Affliction,14.18,188,below_avg,Mystery
1998,Affliction,14.18,188,below_avg,Thriller
2017,Vixen: The Movie,14.176,87,avg,Action
2017,Vixen: The Movie,14.176,87,avg,Animation
2004,Chasing Liberty,14.176,516,below_avg,Comedy
2004,Chasing Liberty,14.176,516,below_avg,Romance
1965,Cat Ballou,14.175,177,below_avg,Comedy
1965,Cat Ballou,14.175,177,below_avg,Romance
1965,Cat Ballou,14.175,177,below_avg,Western
2015,Baskin,14.174,215,not_good,Fantasy
2015,Baskin,14.174,215,not_good,Horror
2015,Baskin,14.174,215,not_good,Science Fiction
1987,Anne of Green Gables: The Sequel,14.173,93,good,Drama
1987,Anne of Green Gables: The Sequel,14.173,93,good,Romance
1987,Anne of Green Gables: The Sequel,14.173,93,good,Family
2007,The Last Mimzy,14.169,375,below_avg,Drama
2007,The Last Mimzy,14.169,375,below_avg,Science Fiction
2007,The Last Mimzy,14.169,375,below_avg,Adventure
2017,A Mermaid's Tale,14.168,37,not_good,Family
1948,Melody Time,14.168,202,below_avg,Music
1948,Melody Time,14.168,202,below_avg,Family
1948,Melody Time,14.168,202,below_avg,Animation
1948,Melody Time,14.168,202,below_avg,Comedy
2001,Someone Like You...,14.168,297,not_good,Comedy
2001,Someone Like You...,14.168,297,not_good,Romance
1962,Knife in the Water,14.168,283,good,Drama
1969,The Wild Bunch,14.168,859,good,Adventure
1969,The Wild Bunch,14.168,859,good,Western
2017,Wakefield,14.167,325,below_avg,Drama
1994,Raw Justice,14.167,21,not_good,Thriller
1994,Raw Justice,14.167,21,not_good,Action
1993,Untamed Heart,14.167,161,avg,Comedy
1993,Untamed Heart,14.167,161,avg,Drama
1993,Untamed Heart,14.167,161,avg,Romance
2002,The Emperor's Club,14.167,295,avg,Drama
2002,The Emperor's Club,14.167,295,avg,Romance
2006,Pulse,14.167,393,not_good,Horror
2006,Pulse,14.167,393,not_good,Thriller
2001,Don't Say a Word,14.166,703,below_avg,Thriller
2012,Nameless Gangster,14.163,117,avg,Crime
2012,Nameless Gangster,14.163,117,avg,Thriller
2020,Meteor Moon,14.162,9,not_good,Adventure
2020,Meteor Moon,14.162,9,not_good,Science Fiction
2007,Butterfly on a Wheel,14.162,395,below_avg,Crime
2007,Butterfly on a Wheel,14.162,395,below_avg,Drama
2007,Butterfly on a Wheel,14.162,395,below_avg,Thriller
2010,Cop Out,14.159,1213,not_good,Action
2010,Cop Out,14.159,1213,not_good,Comedy
2010,Cop Out,14.159,1213,not_good,Crime
2008,Picture This,14.158,256,not_good,Comedy
2020,Have a Good Trip: Adventures in Psychedelics,14.157,122,avg,Documentary
2011,Wuthering Heights,14.157,182,not_good,Drama
2011,Wuthering Heights,14.157,182,not_good,Romance
2001,The Glass House,14.157,750,not_good,Drama
2001,The Glass House,14.157,750,not_good,Thriller
2005,Chucky's Vacation Slides,14.155,7,below_avg,Comedy
2005,Chucky's Vacation Slides,14.155,7,below_avg,Horror
2015,A Very Murray Christmas,14.155,338,not_good,Comedy
2015,A Very Murray Christmas,14.155,338,not_good,Music
2008,The Burning Plain,14.155,330,below_avg,Drama
2008,The Burning Plain,14.155,330,below_avg,Romance
2008,The Burning Plain,14.155,330,below_avg,Crime
2005,Supercross,14.154,107,below_avg,Action
2005,Supercross,14.154,107,below_avg,Adventure
2005,Supercross,14.154,107,below_avg,Drama
2005,Supercross,14.154,107,below_avg,Romance
1982,Star Trek II: The Wrath of Khan,14.152,1466,good,Action
1982,Star Trek II: The Wrath of Khan,14.152,1466,good,Adventure
1982,Star Trek II: The Wrath of Khan,14.152,1466,good,Science Fiction
