Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1963,The Executioner,14.098,106,good,Drama
2015,Madame Bovary,14.096,354,not_good,Drama
2003,Seabiscuit,14.094,642,avg,Drama
2003,Seabiscuit,14.094,642,avg,History
1997,The Devil's Own,14.093,912,below_avg,Crime
1997,The Devil's Own,14.093,912,below_avg,Thriller
1997,The Devil's Own,14.093,912,below_avg,Drama
1987,Blind Date,14.092,353,below_avg,Comedy
1987,Blind Date,14.092,353,below_avg,Romance
2016,The Queen of Spain,14.09,71,not_good,Comedy
2016,The Queen of Spain,14.09,71,not_good,Drama
1993,Joshua Tree,14.089,110,below_avg,Action
2019,Cold Blood,14.088,294,not_good,Thriller
